player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played,id,player_name,player_full_name,first_name,last_name,born_date,debut_date,debut_age,last_date,last_age,height,weight,profile_pic,player_link,player_common_names,player_teams
43379,2006,Adelaide Crows,False,17,131.0,52.0,99.0,230.0,5.0,5.0,2.0,36.0,11.0,44.0,24.0,20.0,21.0,6.0,0.0,86.0,149.0,3.0,4.0,34.0,7.0,9.0,35,931,1258.0,7.7,3.1,5.8,13.5,0.3,0.3,0.1,2.1,0.6,2.6,1.4,1.2,1.2,0.4,5.1,8.8,0.2,0.2,2.0,0.4,0.5,2.1,54.8,74.0,,,,,,,,,,,,,,,,
43379,2006,Adelaide Crows,True,2,12.0,6.0,11.0,23.0,0.0,0.0,1.0,8.0,1.0,6.0,3.0,2.0,1.0,1.0,0.0,8.0,15.0,1.0,0.0,2.0,2.0,2.0,0,107,176.0,6.0,3.0,5.5,11.5,0.0,0.0,0.5,4.0,0.5,3.0,1.5,1.0,0.5,0.5,4.0,7.5,0.5,0.0,1.0,1.0,1.0,0.0,53.5,88.0,,,,,,,,,,,,,,,,
43379,2007,Adelaide Crows,False,22,213.0,94.0,206.0,419.0,6.0,11.0,19.0,74.0,18.0,70.0,41.0,46.0,26.0,17.0,0.0,142.0,278.0,7.0,6.0,42.0,16.0,12.0,47,1670,1684.0,9.7,4.3,9.4,19.0,0.3,0.5,0.9,3.4,0.8,3.2,1.9,2.1,1.2,0.8,6.5,12.6,0.3,0.3,1.9,0.7,0.5,2.1,75.9,76.5,,,,,,,,,,,,,,,,
43379,2007,Adelaide Crows,True,1,6.0,4.0,9.0,15.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,0.0,0.0,3.0,0.0,1.0,7,61,66.0,6.0,4.0,9.0,15.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,10.0,0.0,0.0,3.0,0.0,1.0,7.0,61.0,66.0,,,,,,,,,,,,,,,,
43379,2008,Adelaide Crows,False,22,225.0,108.0,245.0,470.0,8.0,12.0,13.0,82.0,27.0,82.0,66.0,41.0,29.0,16.0,6.0,152.0,323.0,2.0,6.0,26.0,20.0,7.0,60,1871,1740.0,10.2,4.9,11.1,21.4,0.4,0.5,0.6,3.7,1.2,3.7,3.0,1.9,1.3,0.7,6.9,14.7,0.1,0.3,1.2,0.9,0.3,2.7,85.0,79.1,,,,,,,,,,,,,,,,
43379,2009,Adelaide Crows,False,21,164.0,104.0,292.0,456.0,5.0,5.0,4.0,61.0,19.0,50.0,26.0,41.0,14.0,15.0,0.0,124.0,334.0,5.0,4.0,43.0,20.0,7.0,35,1640,1804.0,7.8,5.0,13.9,21.7,0.2,0.2,0.2,2.9,0.9,2.4,1.2,2.0,0.7,0.7,5.9,15.9,0.2,0.2,2.0,1.0,0.3,1.7,78.1,85.9,,,,,,,,,,,,,,,,
43379,2010,Adelaide Crows,False,19,182.0,110.0,205.0,387.0,5.0,4.0,11.0,62.0,25.0,43.0,20.0,38.0,16.0,18.0,2.0,111.0,279.0,9.0,5.0,21.0,21.0,9.0,34,1541,1677.0,9.6,5.8,10.8,20.4,0.3,0.2,0.6,3.3,1.3,2.3,1.1,2.0,0.8,0.9,5.8,14.7,0.5,0.3,1.1,1.1,0.5,1.8,81.1,88.3,,,,,,,,,,,,,,,,
43379,2011,Adelaide Crows,False,22,282.0,126.0,236.0,518.0,12.0,12.0,12.0,76.0,42.0,79.0,61.0,57.0,19.0,19.0,9.0,165.0,348.0,12.0,9.0,34.0,7.0,9.0,84,2058,1968.0,12.8,5.7,10.7,23.5,0.5,0.5,0.5,3.5,1.9,3.6,2.8,2.6,0.9,0.9,7.5,15.8,0.5,0.4,1.5,0.3,0.4,3.8,93.5,89.5,,,,,,,,,,,,,,,,
43379,2012,Adelaide Crows,False,22,262.0,90.0,144.0,406.0,11.0,11.0,1.0,114.0,29.0,69.0,68.0,55.0,15.0,22.0,0.0,157.0,232.0,8.0,10.0,23.0,0.0,14.0,77,1827,1835.0,11.9,4.1,6.5,18.5,0.5,0.5,0.0,5.2,1.3,3.1,3.1,2.5,0.7,1.0,7.1,10.5,0.4,0.5,1.0,0.0,0.6,3.5,83.0,83.4,,,,,,,,,,,,,,,,
43379,2012,Adelaide Crows,True,3,31.0,15.0,18.0,49.0,2.0,0.0,0.0,12.0,1.0,14.0,5.0,6.0,2.0,1.0,0.0,14.0,35.0,1.0,0.0,5.0,0.0,2.0,12,233,256.0,10.3,5.0,6.0,16.3,0.7,0.0,0.0,4.0,0.3,4.7,1.7,2.0,0.7,0.3,4.7,11.7,0.3,0.0,1.7,0.0,0.7,4.0,77.7,85.3,,,,,,,,,,,,,,,,
43379,2013,Adelaide Crows,False,19,209.0,69.0,114.0,323.0,8.0,9.0,2.0,62.0,24.0,58.0,43.0,57.0,19.0,29.0,0.0,131.0,184.0,4.0,4.0,22.0,1.0,8.0,57,1301,1639.0,11.0,3.6,6.0,17.0,0.4,0.5,0.1,3.3,1.3,3.1,2.3,3.0,1.0,1.5,6.9,9.7,0.2,0.2,1.2,0.1,0.4,3.0,68.5,86.3,,,,,,,,,,,,,,,,
43379,2015,Adelaide Crows,False,18,169.0,72.0,102.0,271.0,4.0,6.0,1.0,71.0,41.0,43.0,22.0,41.0,10.0,9.0,0.0,95.0,174.0,10.0,5.0,20.0,0.0,7.0,30,1225,1487.0,9.4,4.0,5.7,15.1,0.2,0.3,0.1,3.9,2.3,2.4,1.2,2.3,0.6,0.5,5.3,9.7,0.6,0.3,1.1,0.0,0.4,1.7,68.1,82.6,,,,,,,,,,,,,,,,
43379,2015,Adelaide Crows,True,2,18.0,7.0,17.0,35.0,0.0,0.0,0.0,3.0,6.0,6.0,2.0,7.0,0.0,2.0,0.0,12.0,23.0,0.0,0.0,2.0,0.0,1.0,0,115,157.0,9.0,3.5,8.5,17.5,0.0,0.0,0.0,1.5,3.0,3.0,1.0,3.5,0.0,1.0,6.0,11.5,0.0,0.0,1.0,0.0,0.5,0.0,57.5,78.5,,,,,,,,,,,,,,,,
43379,2016,Adelaide Crows,False,3,23.0,9.0,13.0,36.0,0.0,1.0,0.0,8.0,5.0,5.0,0.0,6.0,2.0,4.0,0.0,11.0,25.0,1.0,0.0,10.0,1.0,1.0,1,145,240.0,7.7,3.0,4.3,12.0,0.0,0.3,0.0,2.7,1.7,1.7,0.0,2.0,0.7,1.3,3.7,8.3,0.3,0.0,3.3,0.3,0.3,0.3,48.3,80.0,,,,,,,,,,,,,,,,
43396,2022,West Coast Eagles,False,1,11.0,4.0,4.0,15.0,1.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,6,67,75.0,11.0,4.0,4.0,15.0,1.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,67.0,75.0,,,,,,,,,,,,,,,,
43410,2009,Fremantle Dockers,False,17,89.0,56.0,125.0,214.0,5.0,4.0,0.0,64.0,13.0,31.0,28.0,28.0,13.0,17.0,0.0,98.0,120.0,9.0,7.0,34.0,7.0,9.0,34,937,1338.0,5.2,3.3,7.4,12.6,0.3,0.2,0.0,3.8,0.8,1.8,1.6,1.6,0.8,1.0,5.8,7.1,0.5,0.4,2.0,0.4,0.5,2.0,55.1,78.7,,,,,,,,,,,,,,,,
43410,2010,Fremantle Dockers,False,18,86.0,50.0,131.0,217.0,6.0,10.0,1.0,66.0,2.0,34.0,15.0,26.0,11.0,10.0,0.0,96.0,118.0,3.0,14.0,27.0,5.0,15.0,46,962,1475.0,4.8,2.8,7.3,12.1,0.3,0.6,0.1,3.7,0.1,1.9,0.8,1.4,0.6,0.6,5.3,6.6,0.2,0.8,1.5,0.3,0.8,2.6,53.4,81.9,,,,,,,,,,,,,,,,
43410,2010,Fremantle Dockers,True,2,6.0,6.0,14.0,20.0,0.0,2.0,0.0,9.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,11.0,9.0,0.0,1.0,4.0,0.0,1.0,2,100,181.0,3.0,3.0,7.0,10.0,0.0,1.0,0.0,4.5,0.0,1.5,1.0,1.5,0.5,0.5,5.5,4.5,0.0,0.5,2.0,0.0,0.5,1.0,50.0,90.5,,,,,,,,,,,,,,,,
43410,2011,Fremantle Dockers,False,16,84.0,43.0,139.0,223.0,3.0,2.0,0.0,84.0,13.0,25.0,27.0,22.0,15.0,9.0,0.0,103.0,125.0,4.0,4.0,29.0,5.0,13.0,20,1003,1360.0,5.3,2.7,8.7,13.9,0.2,0.1,0.0,5.3,0.8,1.6,1.7,1.4,0.9,0.6,6.4,7.8,0.3,0.3,1.8,0.3,0.8,1.3,62.7,85.0,,,,,,,,,,,,,,,,
43410,2012,Fremantle Dockers,False,21,178.0,93.0,200.0,378.0,14.0,9.0,0.0,127.0,17.0,49.0,47.0,52.0,24.0,23.0,2.0,181.0,199.0,15.0,13.0,20.0,3.0,8.0,93,1769,1768.0,8.5,4.4,9.5,18.0,0.7,0.4,0.0,6.0,0.8,2.3,2.2,2.5,1.1,1.1,8.6,9.5,0.7,0.6,1.0,0.1,0.4,4.4,84.2,84.2,,,,,,,,,,,,,,,,
43410,2012,Fremantle Dockers,True,2,10.0,9.0,22.0,32.0,1.0,1.0,0.0,11.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,17.0,14.0,1.0,2.0,2.0,0.0,2.0,7,154,174.0,5.0,4.5,11.0,16.0,0.5,0.5,0.0,5.5,0.0,0.5,1.0,1.5,1.0,0.0,8.5,7.0,0.5,1.0,1.0,0.0,1.0,3.5,77.0,87.0,,,,,,,,,,,,,,,,
