player_id,year,team,games_played,feat_prev_cpi,feat_prev_disposals,feat_prev_goals,feat_prev_games,feat_career_seasons,feat_position_proxy,target_is_top_disposal,target_is_top_goal,target_is_top_cpi,target_cpi_raw
45221,2018,Hawthorn Hawks,6,30.3,13.5,0.3,8.0,8,General,0,0,0,30.60000000000001
45222,2016,St Kilda Saints,1,,,,,0,General,0,0,0,18.0
45222,2017,St Kilda Saints,3,18.0,13.0,1.0,1.0,1,General,0,0,0,24.25
45222,2018,St Kilda Saints,6,24.25,13.0,0.0,3.0,2,Defender,0,0,0,22.5
45222,2019,St Kilda Saints,1,22.5,12.3,0.0,6.0,3,Defender,0,0,0,26.5
45223,2004,Port Adelaide Power,6,,,,,0,General,0,0,0,22.8
45223,2005,Port Adelaide Power,12,22.8,8.8,1.3,6.0,1,Forward,0,0,0,23.65
45223,2006,Port Adelaide Power,18,23.65,9.6,0.6,12.0,2,General,0,0,0,31.200000000000003
45223,2007,Port Adelaide Power,13,31.200000000000003,11.3,1.1,18.0,3,General,0,0,0,32.5
45223,2008,Port Adelaide Power,6,32.5,13.1,0.8,13.0,4,General,0,0,0,24.35
45224,2008,sydney swans,2,,,,,0,General,0,0,0,13.0
45224,2009,sydney swans,18,13.0,4.5,0.0,2.0,1,General,0,0,0,21.6
45224,2010,sydney swans,19,21.6,7.9,1.1,18.0,2,General,0,0,0,20.250000000000004
45224,2011,sydney swans,11,20.250000000000004,8.4,1.1,19.0,3,General,0,0,0,20.749999999999996
45224,2012,sydney swans,3,20.749999999999996,7.5,0.8,11.0,4,General,0,0,0,24.049999999999997
45224,2013,sydney swans,12,24.049999999999997,9.7,0.7,3.0,5,General,0,0,0,30.45
45224,2014,collingwood magpies,18,30.45,11.2,1.6,12.0,6,Forward,0,0,0,26.55
45224,2015,collingwood magpies,18,26.55,10.5,1.1,18.0,7,General,0,0,0,31.299999999999997
45224,2016,collingwood magpies,16,31.299999999999997,12.4,1.5,18.0,8,Forward,0,0,0,35.150000000000006
45224,2017,collingwood magpies,4,35.150000000000006,13.2,1.4,16.0,9,Forward,0,0,0,30.299999999999997
45225,2010,NORTH MELBOURNE KANGAROOS,2,,,,,0,General,0,0,0,25.75
45226,2006,Richmond Tigers,11,,,,,0,General,0,0,0,24.9
45226,2007,Richmond Tigers,7,24.9,11.0,0.2,11.0,1,Defender,0,0,0,20.85
45226,2008,Richmond Tigers,20,20.85,8.6,0.1,7.0,2,Defender,0,0,0,33.349999999999994
45226,2009,Richmond Tigers,16,33.349999999999994,13.4,0.6,20.0,3,General,0,0,0,32.69999999999999
45226,2010,Richmond Tigers,16,32.69999999999999,14.7,0.4,16.0,4,General,0,0,0,29.799999999999997
45226,2011,Richmond Tigers,12,29.799999999999997,11.4,0.7,16.0,5,General,0,0,0,30.750000000000004
